Date,Open,High,Low,Close,Adj Close,Volume
20/07/2020,74.897.400,75.150.002,74.464.600,74.669.701,74.669.701,0
27/07/2020,74.725.601,75.089.996,74.513.496,74.876.900,74.876.900,0
03/08/2020,74.917.900,75.364.998,74.768.997,75.017.998,75.017.998,0
10/08/2020,75.026.901,75.246.002,74.515.999,74.849.701,74.849.701,0
17/08/2020,74.902.802,75.199.997,74.570.297,74.875.298,74.875.298,0
24/08/2020,74.921.799,74.921.799,73.095.802,73.125.000,73.125.000,0
31/08/2020,73.128.403,73.885.002,72.718.498,73.172.699,73.172.699,0
07/09/2020,73.290.298,74.050.003,73.012.001,73.425.499,73.425.499,0
14/09/2020,73.478.699,73.800.003,73.172.997,73.602.898,73.602.898,0
21/09/2020,73.534.798,74.222.000,73.278.000,73.695.999,73.695.999,0
28/09/2020,73.699.402,73.974.998,73.027.000,73.260.902,73.260.902,0
05/10/2020,73.322.502,73.815.002,72.959.702,72.959.702,72.959.702,0
12/10/2020,73.014.900,73.620.003,72.933.998,73.443.001,73.443.001,0
19/10/2020,73.443.802,73.885.300,73.283.997,73.822.899,73.822.899,0
26/10/2020,73.834.000,74.702.003,73.613.998,74.264.000,74.264.000,0
02/11/2020,74.707.298,75.000.999,73.845.802,73.979.797,73.979.797,0
09/11/2020,73.975.800,74.887.299,73.643.097,74.487.701,74.487.701,0
16/11/2020,74.589.798,74.704.803,74.035.202,74.162.399,74.162.399,0
23/11/2020,74.119.797,74.406.303,73.738.899,73.940.903,73.940.903,0
30/11/2020,73.935.303,74.198.502,73.398.003,73.790.298,73.790.298,0
07/12/2020,73.790.298,74.037.300,73.530.998,73.737.999,73.737.999,0
14/12/2020,73.737.999,73.900.299,73.384.697,73.603.600,73.603.600,0
21/12/2020,73.603.600,74.269.997,73.450.798,73.689.003,73.689.003,0
28/12/2020,73.689.003,73.767.303,72.946.602,73.092.003,73.092.003,0
04/01/2021,73.092.003,73.739.799,72.798.500,73.373.398,73.373.398,0
11/01/2021,73.373.398,73.778.999,72.939.003,73.158.997,73.158.997,0
18/01/2021,73.158.997,73.419.998,72.883.003,72.954.903,72.954.903,0
25/01/2021,72.995.903,73.222.000,72.767.502,72.906.601,72.906.601,0
01/02/2021,72.906.601,73.324.799,72.777.702,72.784.798,72.784.798,0
08/02/2021,72.784.798,73.109.001,72.562.798,72.590.797,72.590.797,0
15/02/2021,72.594.803,73.153.999,72.398.300,72.563.004,72.563.004,0
22/02/2021,72.553.001,74.178.703,72.267.998,73.595.901,73.595.901,0
01/03/2021,73.595.901,74.125.000,72.612.198,73.133.400,73.133.400,0
08/03/2021,73.133.400,73.415.298,72.564.796,72.689.003,72.689.003,0
15/03/2021,72.682.999,73.008.003,72.295.601,72.441.803,72.441.803,0
22/03/2021,72.404.999,73.137.001,72.265.999,72.612.801,72.612.801,0
29/03/2021,72.447.304,73.652.298,72.447.304,73.287.300,73.287.300,0
05/04/2021,73.376.099,75.006.302,73.197.304,74.729.202,74.729.202,0
12/04/2021,74.729.599,75.517.998,74.180.199,74.532.997,74.532.997,0
19/04/2021,74.541.298,75.724.800,74.501.999,75.211.502,75.211.502,0
26/04/2021,74.868.202,75.251.999,73.825.401,74.087.997,74.087.997,0
03/05/2021,74.094.902,74.494.003,73.166.199,73.253.998,73.253.998,0
10/05/2021,73.290.398,73.845.299,73.184.998,73.444.901,73.444.901,0
17/05/2021,73.278.999,73.723.297,72.752.998,73.021.896,73.021.896,0
24/05/2021,72.909.798,73.195.000,72.335.800,72.682.999,72.682.999,0
31/05/2021,72.393.600,73.434.998,72.344.498,73.044.197,73.044.197,0
07/06/2021,72.909.798,73.318.398,72.741.096,73.012.299,73.012.299,0
14/06/2021,73.231.697,74.522.301,73.100.502,74.253.899,74.253.899,0
21/06/2021,74.143.997,74.544.800,73.510.803,74.220.001,74.220.001,0
